id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
343,농심홀딩스,72710,"기타 금융업","지주회사,투자자문,경영컨설팅 서비스",2003-07-30,12월,박준,http://www.nongshimholdings.com,서울특별시
344,한국금융지주,71050,"기타 금융업",금융지주회사,2003-07-21,12월,김남구,http://www.koreaholdings.com,서울특별시
345,유엔젤,72130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급",2003-07-01,12월,유지원,http://www.uangel.com,경기도
346,SBS,34120,"텔레비전 방송업","TV,라디오방송,광고",2003-06-25,12월,박정훈(단독대표),http://www.sbs.co.kr,서울특별시
347,엔씨소프트,36570,"소프트웨어 개발 및 공급업","인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",2003-05-22,12월,김택진,http://www.ncsoft.net,서울특별시
348,하이스틸,71090,"1차 철강 제조업","강관 제조,도매",2003-02-17,12월,엄정근,http://www.histeel.co.kr,충청남도
349,DSR제강,69730,"1차 철강 제조업","와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,"홍하종, 홍석빈 (각자 대표이사)",http://www.dsrcorp.com,전라남도
350,태경케미컬,6890,"기초 화학물질 제조업","드라이아이스,액체탄산,고체탄산 제조",2003-01-28,12월,박기환,http://www.taekyungchem.co.kr,서울특별시
351,한농화성,11500,"기타 화학제품 제조업","계면활성제,글리콜에테르 제조,판매",2003-01-09,12월,"김응상, 경상호 (각자대표)",http://hannong.koreasme.com,전라북도
352,현대백화점,69960,"종합 소매업",백화점,2002-11-25,12월,"정지선, 장호진, 김형종 (각자대표)",http://home.e-hyundai.com,서울특별시
353,대호에이엘,69460,"1차 비철금속 제조업","알루미늄 환절판 제조,도매,무역",2002-11-11,12월,"이경열,강지연 (각자대표)",http://www.daeho-al.com,대구광역시
354,대웅제약,69620,"의약품 제조업","양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대",2002-11-01,12월,"전승호, 이창재",http://www.daewoong.co.kr,경기도
355,마니커,27740,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행",2002-10-29,12월,안정원,http://www.maniker.co.kr,경기도
356,SNT홀딩스,36530,"기타 금융업","지배,경영지도,정리,육성",2002-10-22,12월,김도환,http://www.hisntholdings.com,서울특별시
357,티케이지휴켐스,69260,"기타 화학제품 제조업","화합물,화학제품 제조",2002-10-07,12월,김우찬,http://www.huchems.com,서울특별시
358,세종공업,33530,"자동차 신품 부품 제조업","자동차부품,자동차소음기(머플러),배기가스정화기,배기계통부품 제조",2002-09-25,12월,"김익석, 최정연 (각자 대표이사)",http://www.sjku.co.kr,울산광역시
359,포스코스틸리온,58430,"1차 철강 제조업","용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매",2002-08-16,12월,윤양수,http://www.poscocnc.com,경상북도
360,삼성출판사,68290,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대",2002-08-05,12월,김진용,http://www.samsungbooks.com,서울특별시
361,세이브존I&C,67830,"종합 소매업","대형할인점(백화점)/부동산 임대/주차장,문화센터 운영",2002-07-25,12월,"김현동, 이상준",http://www.savezone.co.kr,서울특별시
362,교보증권,30610,"금융 지원 서비스업","유가증권 매매,중개,대리,인수",2002-07-18,12월,"박봉권, 이석기 (각자대표)",http://www.iprovest.com,서울특별시
363,한샘,9240,"생활용품 도매업","주방가구(씽크대),인테리어가구 판매,제조/주택신축판매",2002-07-16,12월,김진태(대표집행임원),http://www.hanssem.com,경기도
364,신세계건설,34300,"건물 건설업","토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역",2002-06-17,12월,정두영,http://httpswww.shinsegae-enc.com,서울특별시
365,우신시스템,17370,"특수 목적용 기계 제조업","자동차차체자동화용접조립라인,용접설비,자동용접장비 제조,판매",2002-05-28,12월,허우영,http://www.wooshinsys.co.kr,서울특별시
366,LG전자,66570,"통신 및 방송 장비 제조업","이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",2002-04-22,12월,"조주완, 배두용 (각자 대표이사)",http://www.lge.co.kr,서울특별시
367,한국콜마홀딩스,24720,"기타 금융업","경영컨설팅,무역,과학및기술서비스업,도매",2002-04-09,12월,안병준,http://www.kolmarholdings.co.kr,세종특별자치시
368,SNT모티브,64960,"자동차 신품 부품 제조업","자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매",2002-03-11,12월,권형순,http://www.sntdaewoo.com,부산광역시
369,광주신세계,37710,"종합 소매업",백화점,2002-02-07,12월,이동훈,http://www.gjshinsegae.com,광주광역시
370,일진디스플,20760,"반도체 제조업","박막액정표시장치(TFT-LCD) 패널,LT(리튬탄탈에이트)웨이퍼,분말야금제품(초고압용공구),보석다이아몬드 제조,판매/종합건설",2002-01-09,12월,"김기환, 이교진",http://www.iljindisplay.co.kr,충청북도
371,"KH 필룩스",33180,"전자부품 제조업","전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대",2001-12-26,12월,"한우근, 배보성(각자대표)",http://www.feelux.com,경기도
372,종근당바이오,63160,"의약품 제조업","의약품,원료의약품 제조",2001-12-11,12월,이정진,http://www.ckdbio.com,서울특별시
373,신한지주,55550,"기타 금융업",금융지주회사,2001-09-10,12월,진옥동,http://www.shinhangroup.com,서울특별시
374,코웨이,21240,"그외 기타 개인 서비스업","렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",2001-08-07,12월,서장원,http://company.coway.com,충청남도
375,세아홀딩스,58650,"1차 철강 제조업","지주회사/투자 및 경영컨설팅/부동산 임대",2001-07-30,12월,"이태성, 양영주",http://www.seahholdings.co.kr,서울특별시
376,LG생활건강,51900,"기타 화학제품 제조업","화장품,생활용품 제조,도매",2001-04-25,12월,이정애,http://www.lghnh.com,서울특별시
377,LG화학,51910,"기초 화학물질 제조업","유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",2001-04-25,12월,신학철,http://www.lgchem.com,서울특별시
378,대우건설,47040,"건물 건설업","아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",2001-03-23,12월,백정완,http://daewooenc.com,서울특별시
379,포스코인터내셔널,47050,"상품 중개업","무역(철강,화학,자동차부품),수출주선,대행,알선,가공원단,폴리우레탄,자동차시트 제조",2001-03-23,12월,"대표이사 부회장 정탁",http://www.poscointl.com,서울특별시
380,HD현대인프라코어,42670,"특수 목적용 기계 제조업","굴착기,엔진 제조,도소매",2001-02-02,12월,"조영철, 오승현",http://www.hd-infracore.com,인천광역시
381,한화오션,42660,"선박 및 보트 건조업","선박 제조",2001-02-02,12월,권혁웅,http://www.hanwhaocean.com/pub/main/index.do,경상남도
382,진양화학,51630,"플라스틱제품 제조업","레쟈,바닥재 제조",2001-01-29,12월,김상용,http://www.chinyang.co.kr,울산광역시
383,동원F&B,49770,"기타 식품 제조업","참치캔,음료,냉동식품 제조,판매",2000-11-23,12월,김성용,http://www.dongwonfnb.com,서울특별시
384,두산에너빌리티,34020,"일반 목적용 기계 제조업","기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",2000-10-25,12월,"박지원, 정연인, 박상현",http://https://www.doosanenerbility.com/kr,경상남도
385,한국내화,10040,"내화, 비내화 요업제품 제조업","내화벽돌,내화몰탈,축로등 제조,판매",2000-10-16,12월,변성희,http://www.fskrc.co.kr,충청남도
386,한세예스24홀딩스,16450,"봉제의복 제조업","의류(니트) 제조,도소매,원단 제조,부동산 임대",2000-01-06,12월,"김동녕, 김석환(각자 대표이사)",http://www.hansaeyes24.com,서울특별시
387,대성홀딩스,16710,"회사 본부 및 경영 컨설팅 서비스업","도시가스,일반가스 공급/가스기기,차량용 연료 판매/해외자원개발,부동산 임대",1999-12-22,12월,"대표이사 김영훈 대표이사 김정주",http://www.daesung-holdings.com,대구광역시
388,대원제약,3220,"의약품 제조업","의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",1999-12-15,12월,"백승호,백승열",http://www.daewonpharm.com,서울특별시
389,한국가스공사,36460,"연료용 가스 제조 및 배관공급업","액화천연가스 공급,제조,도매,개발",1999-12-15,12월,최연혜,http://www.kogas.or.kr,대구광역시
390,미래아이앤지,7120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26,12월,김학수,http://www.miraeing.co.kr,서울특별시
391,화천기공,850,"특수 목적용 기계 제조업","CNC선반,CNC밀링,연마기(금속공작기계),MC공작기계,COPY밀링기계,주방품 제조,도매",1999-11-18,12월,"각자대표이사 권영두, 권영렬",http://www.hwacheon.com,광주광역시
392,팜스코,36580,"곡물가공품, 전분 및 전분제품 제조업","배합사료 제조,도매",1999-10-25,12월,정학상,http://www.farmsco.com,경기도
393,케이티앤지,33780,"담배 제조업","잎담배,제조담배,홍삼,홍삼제품 제조,판매",1999-10-08,12월,"Baek, Bok-In",http://www.ktng.com,대전광역시
394,HD한국조선해양,9540,"기타 금융업","선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",1999-08-24,12월,"가삼현, 정기선 (각자 대표이사)",http://www.ksoe.co.kr,경기도
395,디씨엠,24090,"1차 철강 제조업","PCM(칼라강판),라미네이트강판,산업용필름 제조,판매",1999-08-18,12월,"정연택, 정동우(각자 대표)",http://www.dcmcorp.co.kr,경상남도
396,AK홀딩스,6840,"기타 금융업",지주사업,1999-08-11,12월,"채형석, 백차현(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시
397,대한유화,6650,"기초 화학물질 제조업","폴리프로필렌,고밀도폴리에틸렌,나프타분해유분,올레핀류,혼합C4류,분해가솔린 제조",1999-08-11,12월,강길순,http://www.kpic.co.kr,서울특별시
398,백산,35150,"플라스틱제품 제조업","P.U.인조피혁,부직포인공피혁 제조,무역",1999-08-11,12월,김한준,http://www.baiksan.co.kr,경기도
399,지투알,35000,"회사 본부 및 경영 컨설팅 서비스업",지주회사,1999-08-11,12월,박애리,http://www.g2rgroup.com/korean/main/main.asp,서울특별시
400,체시스,33250,"자동차 신품 부품 제조업","자동차부품,뒷차축 제조",1999-08-11,06월,"이명곤, 김성광(각자대표이사)",http://www.chasys.com,경상북도
401,자화전자,33240,"전자부품 제조업","Bonded magenet,플라스틱자성제품,티탄산 바륨계 반도체소자,휴대전화용 Vibration Motor,전자관,전자부품 제조",1999-01-06,12월,"김상면, 김찬용(각자대표)",http://www.jahwa.co.kr,충청북도
402,케이티,30200,"전기 통신업","유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)",1998-12-23,12월,구현모,http://www.kt.com,경기도
403,하이트론씨스템즈,19490,"영상 및 음향기기 제조업","영상음향기기(보안시스템,CCTV용 모니터,CRT,화상회의시스템),정보통신기기 제조",1998-11-04,12월,임정훈(단독대표),http://www.hitron.co.kr,경기도
404,제일기획,30000,광고업,"광고 대행/광고물,영화 제작,인쇄,출판",1998-03-03,12월,김종현,http://www.cheil.co.kr,서울특별시
405,스틱인베스트먼트,26890,"신탁업 및 집합투자업",사모펀드(PEF),1997-11-25,12월,"곽동걸, 곽대환",http://www.stic.co.kr,서울특별시
406,케이씨,29460,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","가스/Chemical 공급 장치 등 제조 및 판매",1997-11-25,12월,"고상걸, 권홍빈(각자대표이사)",http://www.kct.co.kr,경기도
407,대원화성,24890,"플라스틱제품 제조업","합성피혁,벽지,DMF(폐용수)정제,방수투습원단,화공약 임가공,제조,도매,수출입",1997-10-28,12월,강동엽,http://www.daewon21.co.kr,서울특별시
408,E1,17940,"기타 전문 도매업","LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시
409,SK가스,18670,"기타 전문 도매업","액화석유가스,가스기기 판매,수입,저장",1997-08-27,12월,윤병석,http://www.skgas.co.kr/,경기도
410,다우기술,23590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1997-08-27,12월,김윤덕,http://www.daou.co.kr,경기도
411,영보화학,14440,"플라스틱제품 제조업","가교발포폴리에틸렌(아티론,영보드) 제조,판매",1997-08-27,12월,이영식,http://www.youngbo.com,충청북도
412,SKC,11790,"기타 화학제품 제조업","폴리에스테르필름,합성수지,LCD용 필름 제조",1997-07-18,12월,박원철,http://www.skc.kr,경기도
413,웰바이오텍,10600,"상품 중개업","피혁의류 도,소매,의류 판매,수입,피혁(GRAIN LEATHER) 제조",1997-07-18,12월,구세현,http://www.wellbiotec.co.kr,서울특별시
414,한국주강,25890,"특수 목적용 기계 제조업","주강,주물 제조,도매",1997-07-18,12월,하만규,http://www.hascokorea.co.kr,경상남도
415,덕양산업,24900,"자동차 신품 부품 제조업","자동차부품(CRASH PAD,TRIM PANEL) 제조,판매",1997-06-23,12월,"윤성희,한상욱",http://www.duckyang.co.kr,울산광역시
416,에쓰씨엔지니어링,23960,"토목 건설업","기술용역(건축설계) 서비스/화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",1997-06-23,12월,김건우,http://www.sc-eng.com,서울특별시
417,인지컨트롤스,23800,"자동차 신품 부품 제조업","자동차부품(터머스위치,터머스탯) 제조",1997-06-23,12월,"정구용, 정혜승, 김홍집(각자대표이사)",http://www.inzi.co.kr,경기도
418,경동인베스트,12320,"기타 금융업",지주회사,1997-03-07,12월,정승진,http://www.kdinvest.co.kr,경기도
419,에스제이엠홀딩스,25530,"자동차 부품 및 내장품 판매업",지주회사및경영자문,1997-02-12,12월,"김용호, 김휘중(각자대표이사)",http://www.sjmholdings.co.kr,경기도
420,콤텍시스템,31820,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수",1997-02-12,12월,"권창완, 김완호 (각자 대표집행임원)",http://www.comtec.co.kr,서울특별시
421,SK하이닉스,660,"반도체 제조업","반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,"박정호, 곽노정 (각자대표)",http://www.skhynix.com,경기도
422,MH에탄올,23150,"알코올음료 제조업","주정,탄산가스 제조",1996-12-24,12월,최동호,http://www.mhethanol.com,경상남도
423,국동,5320,"생활용품 도매업","셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대",1996-12-24,12월,우혁주,http://www.kd.co.kr,서울특별시
424,동남합성,23450,"기초 화학물질 제조업","계면활성제,정밀화학품 제조,도매/부동산 임대",1996-12-24,12월,"김정돈, 박미령 (각자대표)",http://www.dongnamchem.com,충청남도
425,삼성엔지니어링,28050,"건축기술, 엔지니어링 및 관련 기술 서비스업","산업설비,건물,구축물,토목시설의 설계,시공,공사감리",1996-12-24,12월,남궁홍,http://www.samsungengineering.co.kr,서울특별시
426,신도리코,29530,"컴퓨터 및 주변장치 제조업","복사기, 3D프린터, 프린터, 주변기기 제조,판매",1996-12-24,12월,박동안,http://www.sindoh.com,서울특별시
427,예스코홀딩스,15360,"회사 본부 및 경영 컨설팅 서비스업",지주사업,1996-12-24,12월,"구본혁, 이정철",http://www.yescoholdings.com,서울특별시
428,퍼시스,16800,"가구 제조업","사무용 가구,의자,책상,캐비넷 제조",1996-12-24,12월,"배상돈,박광호",http://www.fursys.co.kr,서울특별시
429,WISCOM,24070,"플라스틱제품 제조업","플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공",1996-11-22,12월,"구조웅, 구영일",http://www.wiscom.co.kr,경기도
430,동원수산,30720,"어로 어업","원양어업/수산물 제조,가공/참치어류 냉동냉장업",1996-11-22,12월,"WANG KI YONG JR, 왕인상",http://www.dongwonfish.co.kr,서울특별시
431,미래산업,25560,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",1996-11-22,12월,선종업,http://www.mirae.co.kr,충청남도
432,다올투자증권,30210,"금융 지원 서비스업","금융업, 서비스, 부동산",1996-11-19,12월,"이병철, 황준호 (각자 대표이사)",http://www.ktb.co.kr,서울특별시
433,HDC,12630,"기타 금융업","토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 정경구",http://www.i-park.com,서울특별시
434,광전자,17900,"반도체 제조업","트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매",1996-10-16,12월,최재완,http://www.auk.co.kr,전라북도
435,한국단자공업,25540,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전기변환장치(광커넥터,통신용콘넥터,정밀압착단자설계) 제조,무역(수출)",1996-10-16,12월,"이창원,이원준",http://www.ket.com,인천광역시
436,디아이,3160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",1996-07-31,12월,"박원호 조윤형",http://www.di.co.kr,서울특별시
437,신성이엔지,11930,"반도체 제조업","태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비",1996-07-31,12월,"이지선, 안윤수",http://www.shinsungeng.com,경기도
438,티에이치엔,19180,"기타 전기장비 제조업","자동차부품(전기배선장치류) 제조,도매",1996-07-31,12월,"이광연, 채승훈",http://www.th-net.co.kr,대구광역시
439,한온시스템,18880,"일반 목적용 기계 제조업","자동차용부품(라디에이터,히터,에어콘,압축기,콘덴서,컴퓨레사) 제조,도매",1996-07-31,12월,"각자대표집행임원 2인 - 성민석(대표집행임원) - 너달 쿠추카야(대표집행임원)",http://www.hanonsystems.com,대전광역시
440,세원정공,21820,"자동차 신품 부품 제조업","자동차부품(차체류,램프류) 제조",1996-07-03,06월,장제상,http://www.se-won.co.kr,대구광역시
441,세하,27970,"펄프, 종이 및 판지 제조업","백판지,마니라판지,지류,하수처리기계 제조/상하수도설비공사,수질오염방지시설공사",1996-07-03,12월,안재호,http://www.seha.co.kr,대구광역시
442,영풍제지,6740,"골판지, 종이 상자 및 종이용기 제조업","골판지원지,지관원지,라이나원지 제조",1996-07-03,12월,조상종,http://www.yp21.co.kr,경기도
443,유니온,910,"시멘트, 석회, 플라스터 및 그 제품 제조업","백시멘트,타일시멘트,알루미나시멘트,용융알루미나,급결제,필터프레스,유니필터제조,도매",1996-07-03,12월,"이건영, 이우선",http://www.unioncement.com,서울특별시
444,키다리스튜디오,20120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업",1996-07-03,12월,김영훈,http://www.kidaristudio.com,서울특별시
445,한섬,20000,"봉제의복 제조업","여성의류,금속 액세서리,신발,가방,선글라스 제조,판매",1996-07-03,12월,김민덕,http://www.handsome.co.kr,서울특별시
446,현대엘리베이터,17800,"일반 목적용 기계 제조업","엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",1996-07-03,12월,조재천,http://www.hyundaielevator.co.kr,충청북도
447,환인제약,16580,"의약품 제조업","의약품(신경정신질환치료제,소화기관용약제,연고) 제조,도매",1996-07-03,12월,"이광식, 이원범(각자 대표이사)",http://www.whanin.co.kr,서울특별시
448,계룡건설산업,13580,"토목 건설업","건축공사,주택공사,토목공사,포장공사,전기공사",1996-01-30,12월,"한승구, 오태식, 윤길호",http://www.krcon.co.kr,대전광역시
449,서원,21050,"금속 주조업","비철금속(황동 빌레트,인코트) 제조,재생원료생산",1996-01-30,12월,"조시영, 조경호",http://www.swbrass.co.kr,경기도
450,에스원,12750,"경비, 경호 및 탐정업","부가통신 서비스(경비),안전관리용역,CCTV카메라",1996-01-30,12월,"남궁범, 모리야 키요시",http://www.s1.co.kr,서울특별시
451,태경산업,15890,"기초 화학물질 제조업","제강용 정련제(프락스),카바이드,중질탈산칼슘 제조,판매/고속도로휴게소 운영",1996-01-30,12월,"김해련, 김민정, 박충기 (각자 대표이사)",http://www.taekyung.co.kr,서울특별시
452,신대양제지,16590,"골판지, 종이 상자 및 종이용기 제조업","골판지용 골심지,라이너지 제조,수출입",1995-12-21,12월,"권혁홍, 이상천(각자 대표이사)",http://www.dygroup.co.kr,경기도
453,와이투솔루션,11690,"반도체 제조업","혼성직접회로,통신기기 제조/화공약품,케이블 도매",1995-12-21,12월,강석환,http://www.yuyang.co.kr,경기도
454,남해화학,25860,"비료, 농약 및 살균, 살충제 제조업","비료(요소,복합비료),공업제품원료 제조,도매",1995-11-10,12월,하형수,http://www.nhchem.co.kr,서울특별시
455,동원금속,18500,"자동차 신품 부품 제조업","자동차부품(도어후레임,머플러,임팩트빔),강관 제조,판매",1995-11-10,03월,"이은우, 박승룡",http://www.dwmic.com,경상북도
456,성안,11300,"직물직조 및 직물제품 제조업","제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입",1995-11-10,12월,"성동훈, 이준영(각자 대표이사)",http://www.startex.co.kr,대구광역시
457,HMM,11200,"해상 운송업","정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,김경배,http://www.hmm21.com,서울특별시
458,경인양행,12610,"기초 화학물질 제조업","반응성염료,직접염료,산성염료,삼원색원료 제조,수출입",1995-10-05,12월,"김흥준,조성용 (각자대표이사)",http://www.kyungin.co.kr,인천광역시
459,풀무원,17810,"기타 식품 제조업","두부류,생면류,나물류,냉동류,조미류,김치류,묵류,녹즙,과채음료,건강보조식품 판매,제조,생식품 수출",1995-10-05,12월,이효율,http://www.pulmuone.co.kr,충청북도
460,서울도시가스,17390,"연료용 가스 제조 및 배관공급업","도시가스공급,가스공급설비공사",1995-08-18,12월,"공동대표이사 박근원 공동대표이사 김진철",http://www.seoulgas.co.kr,서울특별시
461,이구산업,25820,"1차 비철금속 제조업","동판.조,황동판.조,인청동판.조 제조,임가공/부동산 임대",1995-08-18,12월,"안월환, 김영길(각자 대표이사)",http://www.leeku.net,경기도
462,에넥스,11090,"가구 제조업","씽크상판,주방기기,목재케비넷,유해가스저감장치시설 제조,판매",1995-07-08,12월,박진규,http://www.enex.co.kr,서울특별시
463,에이프로젠,7460,"기타 금속 가공제품 제조업","단열장치,철구조물,가열로,특수단열재(금속표면경화육성,원자로용) 제조/단열공사/부동산 임대",1995-07-08,12월,이승호,http://www.aprogen.com,경기도
464,제이준코스메틱,25620,"기타 화학제품 제조업","화장품 제조 판매",1995-07-08,12월,"양재원, 고병철 (각자 대표이사)",http://www.jayjun.kr,인천광역시
465,한국카본,17960,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",1995-07-08,12월,"조문수, 이명화 공동대표이사",http://www.hcarbon.com,경상남도
466,KPX케미칼,25000,"기초 화학물질 제조업","PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",1994-12-27,12월,"양준영, 최재호, 이찬수(각자대표이사)",http://www.kpxchemical.com,서울특별시
467,에스엠벡셀,10580,"자동차 신품 부품 제조업","자동차부품(워터펌프,오일펌프,엔진헤드(GV6),프론트케이스) 제조",1994-12-27,12월,정병수,http://www.smbexel.com,충청남도
468,태평양물산,7980,"봉제의복 제조업","봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역",1994-12-27,12월,임석원,http://www.panpacific.co.kr,서울특별시
469,KC그린홀딩스,9440,"기타 금융업","환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치 제조,설치",1994-11-05,12월,이태영,http://www.kcgreenholdings.com,서울특별시
470,문배철강,8420,"1차 철강 제조업","철강재중 판재류(후판,박판,무늬강판) 제조,도매",1994-11-05,12월,이창환,http://www.moonbaesteel.co.kr,서울특별시
471,웅진,16880,"회사 본부 및 경영 컨설팅 서비스업","교육서비스(웅진아이큐,중.고교학습,어린이마을),도서,잡지 출판/부동산 임대/인터넷관련사업",1994-11-05,12월,"윤새봄, 이수영 각자대표",http://www.woongjin.com,서울특별시
472,"HL D&I",14790,"토목 건설업","토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",1994-08-12,12월,홍석화,http://www.halla.co.kr,서울특별시
473,오뚜기,7310,"기타 식품 제조업","라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조",1994-08-12,12월,"함영준, 황성만",http://www.ottogi.co.kr,경기도
474,일정실업,8500,"편조원단 제조업","자동차시트원단,의류,완구직물 제조,염색가공",1994-08-12,12월,"고동수, 최돈호",http://www.iljeong.co.kr,경기도
475,엘에스일렉트릭,10120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",1994-07-11,12월,"구자균, 구동휘, 김동현",http://www.ls-electric.com,경기도
476,대양금속,9190,"1차 철강 제조업","스테인레스 냉연강판 제조",1994-04-29,12월,조상종,http://www.daiyangmetal.co.kr,충청남도
477,이화산업,760,"기타 전문 도매업","염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",1994-04-29,12월,홍성우,http://www.rifa.co.kr,서울특별시
478,동원시스템즈,14820,"플라스틱제품 제조업","포장용 플라스틱제품 제조 외",1994-03-29,12월,"장성학,조점근,서범원",http://dongwonsystems.com/,충청남도
479,삼성중공업,10140,"선박 및 보트 건조업","선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",1994-01-28,12월,"최성안, 정진택",http://www.samsungshi.com,경기도
480,모토닉,9680,"자동차 신품 부품 제조업","자동차용 기화기(캬브레타,다이캐스트,연료펌프) 제조,판매",1994-01-14,12월,"김영봉, 신현돈(각자 대표이사)",http://www.motonic.co.kr,서울특별시
481,화신,10690,"자동차 신품 부품 제조업","자동차엔진부품(ARM류,C/MBR류),자동차부품 제조",1994-01-14,12월,"정서진, 장의호",http://www.hwashin.co.kr,경상북도
482,삼화페인트공업,390,"기타 화학제품 제조업","건축용페인트,공업용페인트,분체도료 등 제조",1993-09-10,12월,"류기붕,배맹달(각자대표)",http://www.samhwa.com,경기도
483,경동나비엔,9450,"가정용 기기 제조업","가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",1993-08-31,12월,"손연호, 김종욱 (각자대표)",http://www.kdnavien.co.kr,경기도
484,DB,12030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
485,SGC에너지,5090,전기업,"증기, 전기, REC(신재생에너지공급인증서)",1993-01-06,12월,"이우성, 박준영, 이복영",http://www.sgcenergy.co.kr,서울특별시
